id|name|description|SKU|price|product_category_id
bb2ce14f-b8ea-4600-bef0-baf7a50ae8ca|Cocktail Napkin Blue|nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis|429024249-9|25895|233eea0c-f18e-4b3b-95cf-cc96d62d617d
e62c0b05-60fb-4ff4-86cd-df8c6577566a|Tahini Paste|ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras pellentesque volutpat|465488611-7|97125|fb9d2f37-d563-4cdd-bc0e-5a11873bd12f
f7ada3b9-f9d3-4cc7-af08-2af71a6ec639|Wine - Vidal Icewine Magnotta|pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci|843623267-4|93703|233eea0c-f18e-4b3b-95cf-cc96d62d617d
07b6d930-e633-47e7-8563-70bdf43cbf7e|Bagels Poppyseed|quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla|228977650-5|4399|fb9d2f37-d563-4cdd-bc0e-5a11873bd12f
f41578de-3afe-4703-bd33-4e455b3c7194|Soup - Beef, Base Mix|donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit|833982563-1|28248|233eea0c-f18e-4b3b-95cf-cc96d62d617d
d821df1b-2e37-482d-a340-9e0c9dfc7f36|Appetizer - Sausage Rolls|mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi|822670716-1|46991|3c9159b7-eb9c-4a13-9e5a-f8ecb29c2754
aab53ff2-d542-42db-8bb5-5f4d638af58a|Lamb - Shoulder|primis in faucibus orci luctus et ultrices posuere cubilia curae|077302491-3|3154|233eea0c-f18e-4b3b-95cf-cc96d62d617d
39c91c54-74db-4ec0-b245-3ea40e0eefa7|Tortillas - Flour, 12|quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis|577950840-2|40663|3c9159b7-eb9c-4a13-9e5a-f8ecb29c2754
032e681b-4047-4e50-9c68-b23cba10428a|Potatoes - Peeled|suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa|897109611-X|74181|fb9d2f37-d563-4cdd-bc0e-5a11873bd12f
188520f7-78b4-4fd8-b076-91bdc5cfdc9b|Cocoa Powder - Natural|eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus|577588771-9|19243|3c9159b7-eb9c-4a13-9e5a-f8ecb29c2754
63bc4169-c3c4-4737-ac4c-09f92cf06eac|Oil - Food, Lacquer Spray|eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo|657203714-2|84066|233eea0c-f18e-4b3b-95cf-cc96d62d617d
98bb8cfd-19fe-494a-838b-57919f5259be|Mushroom - Enoki, Fresh|quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus|044263267-3|61215|233eea0c-f18e-4b3b-95cf-cc96d62d617d
f448c554-f14a-4058-910a-d12e5caf9f73|Ginger - Pickled|felis ut at dolor quis odio consequat varius integer ac leo pellentesque|561813082-3|72027|3c9159b7-eb9c-4a13-9e5a-f8ecb29c2754
947cd93f-c9b7-400c-96dc-405c8209d27c|Crackers - Melba Toast|dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque|409564030-8|89891|3c9159b7-eb9c-4a13-9e5a-f8ecb29c2754
